"post_type","slug","titulo","post_status"
"page","boca","Boca y AdM","publish"
"page","boch","Bochornos y AdM","publish"
"page","bomba-de-sodio-potasio-y-agua-de-mar","Bomba de sodio potasio y agua de mar","publish"
"page","bron","Bronquios y AdM","publish"
"page","bronquitis","Bronquitis y AdM","publish"
"page","ca","Canc€r y Agua de Mar","publish"
"page","cabe","Cabello y AdM","publish"
"page","cabello","Cabello y AdM","publish"
"page","calculadora-isotonica","Calculadora isotónica","publish"
"page","canc","Cáncer y AdM","publish"
"page","canc3r-y-agua-de-mar","Cánc3r y Agua de Mar","publish"
"page","carci","Carcinoma y AdM","publish"
"page","carrito","Carrito","publish"
"page","cart","Cartílagos y AdM","publish"
"page","catarros","Catarros (resfrío común) y AdM","publish"
"page","celi","Celiaquía y AdM","publish"
"page","cere","Cerebro y AdM","publish"
"page","cere1","Cerebelo y AdM","publish"
"page","chucrut-rexmar-en-breve-jugo-de-col-fermentada-chucrut-sauerkraut-con-agua-de-mar","Chucrut Artesanal RexMar  Jugo de col fermentada (chucrut, sauerkraut) con agua de mar hipertónica RexMar","publish"
"page","ci","Calculadora Isotónica","publish"
"page","cicatrizar","Cicatrización y AdM","publish"
"page","cobre-coloidal","Cobre Coloidal","publish"
"page","cobre-propiedades-esotericas-y-activacion","Cobre propiedades Esotéricas y activación","publish"
"page","coci","Cocinar con AdM","publish"
"page","cocina-y-agua-de-mar","Cocina y Agua de Mar","publish"
"page","cocinar","Cocinar con agua de mar RexMar","publish"
"page","colitis-ulcerosa-crohn","Colitis ulcerosa / Crohn / Síndrome de  Intestino Irritado **","publish"
"page","collar-de-cobre-para-animales-protejelos","Collar de Cobre para Animales. Protéjelos !","publish"
"page","colon","Colon (Int. Grueso) y AdM","publish"
"page","colon-y-agua-de-mar","Côlon y Agua de Mar ***","publish"
"page","colutorio","Colutorio y AdM","publish"
"page","como-limpiar-su-cobre","Como limpiar su cobre","publish"
"page","como-y-porque-mineralizar-el-agua-que-bebemos","Cómo y Porqué mineralizar el agua que bebemos","publish"
"page","cond","Conductos deferentes y AdM","publish"
"page","conductividad-del-agua-de-mar","Conductividad del agua de mar","publish"
"page","contacto","Contacto","publish"
"page","coraz","Corazón, ataques cardíacos y AdM","publish"
"page","cpmss","Corte PsicoMental Subliminal Silent (CPMSS)","publish"
"page","cs","Circulación Sanguínea y AdM","publish"
"page","de","Disfunción eréctil y AdM","publish"
"page","deficit-mineral","Déficit mineral y AdM","publish"
"page","dentifrico","Dentífrico y AdM","publish"
"page","deporte-y-agua-de-mar-rexmar","Deporte  y Agua de Mar RexMar","publish"
"page","dermatitis","Dermatitis y AdM","publish"
"page","desinfeccion","Desinfección y AdM","publish"
"page","desnutricion","Desnutrición y AdM","publish"
"page","detox","Desintoxicación y AdM","publish"
"page","diabetes","Diabetes y Obesidad ***","publish"
"page","diabetes-y-agua-de-mar","Diabetes y Agua de Mar","publish"
"page","diabetes1","Diabetes y AdM","publish"
"page","dialisis","Diálisis y AdM","publish"
"page","dien","Dientes y AdM","publish"
"page","digestion","Digestión y AdM","publish"
"page","disclaimer","disclaimer","publish"
"page","disclamer-descargo-de-responsabilidad","Disclaimer (descargo de responsabilidad)","publish"
"page","distribuidores","Distribuidores","publish"
"page","donaciones","Donaciones a ONG Animalistas","publish"
"page","earthing-o-puesta-a-tierra","Earthing ó Puesta a tierra","publish"
"page","eccemas","Eccemas / Dermatítis atópica y AdM","publish"
"page","el-agua-de-mar-en-odontologia","El agua de mar en odontología ***","publish"
"page","em","Esclerosis múltiple y agua de mar","publish"
"page","emf","EMF y AdM","publish"
"page","enema","Cómo auto aplicarse un Enema casero con Agua de Mar (*)(***)","publish"
"page","epid","Epidídimo y AdM","publish"
"page","equilibrio-electrolitico-y-adm","Adelgace y mejore su salud - Equilibrio Hidro-Electrolítico y AdM","publish"
"page","esof","Esófago y AdM","publish"
"page","esto","Estómago y AdM","publish"
"page","estrenimiento-y-el-agua-de-mar","Estreñimiento y el agua de mar:***","publish"
"page","estres","Estrés, Ansiedad y AdM","publish"
"page","etnia-arazaire","Etnia Arazaire","publish"
"page","fari","Faringe y AdM","publish"
"page","fito","Propiedades anti-canc€rígenas del fitoplancton","publish"
"page","formas-de-uso-y-tips","Formas de Uso y Tips ***","publish"
"page","gastritis","Gastritis ***","publish"
"page","gatos","Gatos y AdM","publish"
"page","glio","Glioblastomas y AdM","publish"
"page","helicobacter-pylori","Helicobacter Pylori ***","publish"
"page","hemor","Hemorroides y AdM","publish"
"page","hidratacion","Hidratación y AdM","publish"
"page","higado-y-agua-de-mar","El Hígado y el agua de mar","publish"
"page","higadog","Hígado graso y AdM","publish"
"page","hipertension","Hipertensión y AdM","publish"
"page","hipertension-y-agua-de-mar","Hipertensión y Agua de Mar","publish"
"page","home","Rex Mar Agua de Mar","publish"
"page","home-2","Rex Cobre Artesanias","publish"
"page","homoc","Homocisteína y AdM","publish"
"page","hues","Huesos y AdM","publish"
"page","icarado-que-es","Icarado.... qué es?","publish"
"page","id","Intestino delgado y AdM","publish"
"page","insomnio","Insomnio y AdM","publish"
"page","instala-linux","Instalá Linux olvidá Window$","publish"
"page","instrucciones-de-uso","Instrucciones de Uso","publish"
"page","instructivo-a-beneficio-del-refugio-de-gatos-de-solange","Instructivo a beneficio del Refugio de gatos de Solange","publish"
"page","insuficiencia-renal-y-adm","Insuficiencia renal y AdM","publish"
"page","inyecciones-intravenoso-y-agua-de-mar","Inyecciones Intravenoso y Agua de Mar","publish"
"page","isquemia","Isquemia Cerebral y secuelas (disartría etc) y AdM","publish"
"page","iv","Inyección intravenosa y AdM","publish"
"page","la-trombosis-y-el-agua-de-mar","La Trømbøsis y el Agua de Mar","publish"
"page","lari","Laringe y AdM","publish"
"page","lavado-nasal-con-agua-de-mar","Lavado Nasal con Agua de Mar ***","publish"
"page","ldl","Colesterol malo (LDL) y AdM","publish"
"page","leng","Lengua y AdM","publish"
"page","leyes-de-quinton","Leyes de Quinton","publish"
"page","libros-recomendados","Libros recomendados","publish"
"page","liga","Ligamentos y AdM","publish"
"page","limpieza-hepatica-enemas-desparasitacion-con-agua-de-mar","Limpieza hepática Enemas Desparasitación con Agua de Mar","publish"
"page","linfa","Linfa Sistema linfático y AdM","publish"
"page","links","Links ***","publish"
"page","lipomas","Lipomas y AdM","publish"
"page","listar-paginas","Listar Páginas","publish"
"page","ln","Lavado Nasal y ADM","publish"
"page","longe","Longevidad y AdM","publish"
"page","maestro-jose-arazaire","Maestro José Arazaire","publish"
"page","medu","Médula espinal y AdM","publish"
"page","mela","Melanoma y AdM","publish"
"page","menopausia","Menopausia y AdM","publish"
"page","migra","Migrañas y dolores de cabeza y AdM","publish"
"page","minerales-del-agua-de-mar","Minerales del Agua de Mar","publish"
"page","mioc","Miocarditis, pericarditis y AdM","publish"
"page","musc","Músculos y AdM","publish"
"page","nari","Nariz/Fosas nasales y AdM","publish"
"page","nebulizaciones-con-agua-de-mar","Nebulizaciones con Agua de Mar","publish"
"page","nebulizaciones2","Nebulizaciones y AdM","publish"
"page","no-hierva-mas-el-agua","No hierva más el Agua !!!","publish"
"page","obesidad","Obesidad ***","publish"
"page","ojos","Ojos y AdM","publish"
"page","ondas-schumann-y-adm","Ondas Schumann y AdM","publish"
"page","osteoc","Osteocalcina y AdM","publish"
"page","osteoporosis","Osteoporósis y AdM","publish"
"page","ovar","Ovarios y AdM","publish"
"page","oxi","Oxigenación y AdM","publish"
"page","oxni","Óxido Nítrico y AdM","publish"
"page","panc","Páncreas y AdM","publish"
"page","pdf","Visor Charla","publish"
"page","pene","el Pene y AdM","publish"
"page","penia","Osteopenia y AdM","publish"
"page","perm","Permeabilidad intestinal y AdM","publish"
"page","permeabilidad-intestinal","Permeabilidad intestinal","publish"
"page","perros","Perros y AdM","publish"
"page","piel","Piel AdM","publish"
"page","piel-2","Piel y AdM","publish"
"page","porque-no-ozonizamos-nuestra-agua-de-mar-rexmar","Porqué no ozonizamos nuestra Agua de mar RexMar ?","publish"
"page","porque-salar-los-huevos-duros-al-cocerlos","Porqué salar los huevos duros al cocerlos?","publish"
"page","pota","Potasio y AdM","publish"
"page","preguntas-frecuentes","Preguntas Frecuentes ***","publish"
"page","propiedades","Propiedades ***","publish"
"page","propiedades-inmunomoduladoras-del-adm","Propiedades inmunomoduladoras del AdM","publish"
"page","prostata","Próstata y ADM","publish"
"page","proteccion-emf-emr-frec-y-rad-electromagneticas-protejase","Protección EMF EMR Frec. y Rad. ElectroMagneticas. Protéjase !! Colgante Cuántico","publish"
"page","prueba","prueba","publish"
"page","prueba-1","prueba 1","publish"
"page","prueba-a-ver","prueba a ver","publish"
"page","psoriasis","Psoriasis y AdM","publish"
"page","pulmon","Pulmones y AdM","publish"
"page","pulmones-asma-sistema-respiratorio-y-agua-de-mar","Pulmones, Asma, Sistema respiratorio y Agua de Mar","publish"
"page","que-produce-y-para-que-sirve-el-filtrado","Qué produce y para qué sirve el filtrado?","publish"
"page","quema","Quemaduras y AdM","publish"
"page","raquitismo","Raquitismo y AdM","publish"
"page","recetas","Recetas e Instructivos ***","publish"
"page","recomendaciones-de-medicos-doctores-terapeutas-del-agua-de-mar","Recomendaciones de médicos, doctores, terapeutas del Agua de Mar","publish"
"page","rect","El recto y AdM","publish"
"page","referencias","Referencias","publish"
"page","reflujo","Reflujo y AdM","publish"
"page","renal","Riñones y AdM","publish"
"page","resenas-informacion","Reseñas - Información","publish"
"page","reuma","Reumatismo y AdM","publish"
"page","rexcobre-artesanias","RexCobre Artesanias","publish"
"page","rexmar-beneficios","RexMar Beneficios ***","publish"
"page","rinitis","Rinitis y AdM","publish"
"page","rinones-dialisis-renal-y-agua-de-mar","Riñones Diálisis Renal y Agua de Mar","publish"
"page","rosacea","Rosácea y AdM","publish"
"page","sali","Glándulas salivales y AdM","publish"
"page","sarna","Sarna y AdM","publish"
"page","servicio-de-extraccion-mayorista-de-adm-para-startups","Servicio de extracción mayorista de AdM para startups / tiendas naturistas","publish"
"page","silicio-organico-y-agua-de-mar","Silicio orgánico y agua de mar","publish"
"page","sinusitis","Sinusitis y AdM","publish"
"page","slug-url-sugerida-beneficios-yodo-agua-mar-tiroides-proteccion-categoria-salud-y-bienestar-nutricion-etiquetas-yodo-agua-de-mar-tiroides-salud-natural-prevencion-sistema-inmune","El Yodo y el Agua de Mar (Contexto Nuclear): Fortaleciendo la Tiroides y la Resiliencia Humana","publish"
"page","snc","Reconecta con tu ""Mar Interior"": Cómo el Agua de Mar Beneficia a tu Sistema Nervioso Central","publish"
"page","sociales","Sociales","publish"
"page","somos-75-de-agua-de-mar-isotonica","Somos 75% de Agua de Mar isotónica","publish"
"page","tbc","Tuberculosis y AdM","publish"
"page","tend","Tendones y AdM","publish"
"page","test","Testículos y AdM","publish"
"page","tienda-3","Tienda","publish"
"page","timo","Timo (órgano y AdM","publish"
"page","tinitus-y-agua-de-mar","Tinitus y Agua de Mar","publish"
"page","tiroides-hipertiroidismo-y-agua-de-mar","Tiroides Hipertiroidismo y Agua de Mar","publish"
"page","tiroides2","Tiroides y AdM","publish"
"page","torc","Torceduras (de manos y pies) y AdM","publish"
"page","traq","Tráquea y AdM","publish"
"page","troe","Tronco encefálico  y AdM","publish"
"page","trom","Trompas de Falopio y AdM","publish"
"page","unas","Uñas y AdM","publish"
"page","uret","Uréteres  y AdM","publish"
"page","uret1","Uretra y AdM","publish"
"page","uter","Útero y AdM","publish"
"page","vagi","Vagina y AdM","publish"
"page","vari","Várices y AdM","publish"
"page","vasos","Vasos sanguíneos y AdM","publish"
"page","veji","Vejiga y AdM","publish"
"page","vesi","Vesícula biliar y AdM","publish"
"page","vess","Vesículas seminales y AdM","publish"
"page","vidente-uruguayo-gerardo-calabrese-recomienda-el-agua-de-mar","Vidente Uruguayo Gerardo Calabrese recomienda el agua de mar","publish"
"page","videos-recomendados","Videos Recomendados","publish"
"page","videos-recomendados-2","Videos Recomendados ***","publish"
"page","vulv","Vulva y AdM","publish"
